freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2,freq,F3,F4,P3,P4,P5,P6,O1,O2
4.0,3.118504402091571e-12,3.388191454718319e-12,6.931219944406644e-13,6.178146194195078e-13,6.795253237320306e-13,8.02317815045222e-13,1.2949130445132162e-12,1.7346835037147969e-12,8.0,1.3653154885755144e-12,1.2329250488358467e-12,2.946917062732902e-13,2.48516596746373e-13,2.97791622407172e-13,2.936209796168866e-13,6.790758173592799e-13,7.587753354706315e-13,12.0,4.732750362911031e-13,5.006586607886219e-13,1.6214109884496254e-13,1.703170167913604e-13,1.5872623462855004e-13,1.7915528635475067e-13,2.4052327979727914e-13,4.1948269473788653e-13
5.0,2.4875931916564454e-12,2.884468060476193e-12,6.059371311858286e-13,4.654221706019412e-13,6.04109299300193e-13,6.363719899890565e-13,1.1998631937312076e-12,1.3321476861255203e-12,9.0,8.51700288788956e-13,8.399836385228064e-13,2.3144680651757396e-13,1.8440462955357073e-13,2.336301707085323e-13,2.070913457774143e-13,5.178314597895271e-13,5.27635574916898e-13,13.0,4.1188138084174476e-13,3.696583872166097e-13,1.376195508800537e-13,1.4908025264398188e-13,1.3523532882747346e-13,1.7076029276801647e-13,2.4761562097855135e-13,3.068861111870685e-13
6.0,2.010319169763284e-12,2.2014946695887896e-12,4.854832129476976e-13,4.1213078997848503e-13,5.000451827607956e-13,4.883151751691932e-13,9.214189101734892e-13,9.65391152322166e-13,10.0,6.008130036665043e-13,5.716847259528742e-13,2.1506496524947132e-13,1.6073454576045012e-13,2.142386157042066e-13,2.008667950077231e-13,3.9860806776361746e-13,4.797773609303844e-13,14.0,3.642800615705126e-13,3.408801483356357e-13,1.2460485143928212e-13,1.2692654162868072e-13,1.2280791501320749e-13,1.395918899467271e-13,2.422624188978433e-13,2.590533725048732e-13
7.0,1.8931020287967485e-12,1.7028537501918852e-12,3.3506581538485616e-13,3.262160944653944e-13,3.463483918787416e-13,3.5748120192537445e-13,8.026925267612375e-13,8.977999802164043e-13,11.0,5.274328120564599e-13,5.116810070967096e-13,2.0438626604788707e-13,1.6762163798370192e-13,2.0151114191267706e-13,2.1645561995854265e-13,3.267383491097982e-13,5.26823006266948e-13,15.0,3.6345858480022363e-13,3.4944845396815943e-13,1.2770021043852735e-13,9.958779566572395e-14,1.2851034107064822e-13,1.2949175587245227e-13,2.380888356019667e-13,2.2471813807381695e-13
8.0,1.3653154885755144e-12,1.2329250488358467e-12,2.946917062732902e-13,2.48516596746373e-13,2.97791622407172e-13,2.936209796168866e-13,6.790758173592799e-13,7.587753354706315e-13,12.0,4.732750362911031e-13,5.006586607886219e-13,1.6214109884496254e-13,1.703170167913604e-13,1.5872623462855004e-13,1.7915528635475067e-13,2.4052327979727914e-13,4.1948269473788653e-13,16.0,3.0575789989192984e-13,2.796713346664098e-13,1.247037945149892e-13,1.0443351250926564e-13,1.2496845506254615e-13,1.3501187100268225e-13,1.8266058408761028e-13,1.8707469707649677e-13
,,,,,,,,,,,,,,,,,,17.0,3.0435534425843407e-13,2.522204639317464e-13,1.050895721165551e-13,8.966367313798333e-14,1.0501202881323597e-13,1.1347435713200927e-13,1.6188559837217385e-13,1.7619105643193112e-13
,,,,,,,,,,,,,,,,,,18.0,3.424076004072733e-13,2.453184473547336e-13,8.798092498965426e-14,9.080807139165345e-14,8.472314826552941e-14,9.651935171533604e-14,1.4620630039014425e-13,1.9393107958486597e-13
,,,,,,,,,,,,,,,,,,19.0,3.537877570242095e-13,2.8539588759627917e-13,7.899935618969729e-14,8.99062642644268e-14,7.695990020033927e-14,8.625118548825851e-14,1.5332361164503054e-13,1.9368272578338616e-13
,,,,,,,,,,,,,,,,,,20.0,3.397255184110883e-13,2.611967854688645e-13,7.16629087558673e-14,8.117062617581579e-14,7.205775134121117e-14,8.86249780758881e-14,1.5362387479454712e-13,1.7740562544164482e-13
,,,,,,,,,,,,,,,,,,21.0,2.7893696214231687e-13,2.210464944547727e-13,7.159661925083775e-14,7.586597888090627e-14,7.100835642524626e-14,9.123193857073444e-14,1.3519863953706743e-13,1.2967466582191209e-13
,,,,,,,,,,,,,,,,,,22.0,2.678529872429312e-13,2.2480650877869003e-13,5.946573246546313e-14,5.923814989663084e-14,5.781677101747509e-14,7.680536248404268e-14,1.2203824755657047e-13,1.4700691208154449e-13
,,,,,,,,,,,,,,,,,,23.0,2.860956662654639e-13,2.1082489227664325e-13,5.657524066475393e-14,6.179056715793239e-14,5.6271013157556535e-14,8.034779816337982e-14,1.2975356235124167e-13,1.6072123541815993e-13
,,,,,,,,,,,,,,,,,,24.0,3.13366936160672e-13,2.4420956883603307e-13,6.140772393963112e-14,5.873266450849852e-14,6.30033612492363e-14,7.078297734987658e-14,1.4282985110967067e-13,1.449474969377328e-13
,,,,,,,,,,,,,,,,,,25.0,3.0753045324149046e-13,1.9658104477980957e-13,5.652661185972383e-14,5.3029062782528025e-14,5.61809766334742e-14,5.805664029479343e-14,1.3101414299367478e-13,1.2632857261056575e-13
,,,,,,,,,,,,,,,,,,26.0,2.4336767220132237e-13,1.6256541695453813e-13,5.007173545944236e-14,4.593956876796725e-14,5.1018170214241654e-14,5.6608862249169316e-14,1.1643818297232528e-13,1.2402247516624195e-13
,,,,,,,,,,,,,,,,,,27.0,2.2924843802763866e-13,1.439188712158044e-13,4.769324461252467e-14,4.909330293088093e-14,4.977807743836671e-14,7.267683893789003e-14,1.0585497126213881e-13,1.1421749078383986e-13
,,,,,,,,,,,,,,,,,,28.0,2.92522153558986e-13,1.6440493745189055e-13,4.905798597016504e-14,6.551526771656252e-14,4.955404609465376e-14,7.227729271377207e-14,1.2883943734608396e-13,1.3044700345439923e-13
,,,,,,,,,,,,,,,,,,29.0,3.432720514454968e-13,1.9973979003314876e-13,6.455669885911513e-14,8.090870300570558e-14,6.268846270850903e-14,7.763088956274254e-14,1.4855128010009186e-13,1.482072519825474e-13
,,,,,,,,,,,,,,,,,,30.0,3.038400214482159e-13,1.8589706598072305e-13,7.166542178234654e-14,9.347199309825582e-14,7.039458939242761e-14,1.0003579008532819e-13,1.355184901932169e-13,1.376914404844431e-13
