,freq,F3,F4,P3,P4,P5,P6,O1,O2
0,4.0,1.8058293631950734e-11,5.9753340940334514e-12,9.763552896893734e-12,2.1949598015586138e-11,4.483822286408277e-12,1.076538724345727e-11,1.1373597934907517e-11,1.11389537260188e-11
1,4.5,1.460448484929583e-11,4.7693348070824236e-12,9.286292313510418e-12,1.8328107585791146e-11,3.4582724263186254e-12,9.68911218488569e-12,8.715271436456127e-12,8.712280242987946e-12
2,5.0,1.4348532996686399e-11,2.606296379384893e-12,7.731821486882098e-12,1.425558757312323e-11,2.633548510050986e-12,7.443863888282103e-12,8.731328841723279e-12,8.916522680562696e-12
3,5.5,1.158046232635543e-11,2.446980299114984e-12,6.433177384741435e-12,1.2803589131511862e-11,2.6457418877573924e-12,7.0363964849111074e-12,7.352464413231977e-12,7.618142874766357e-12
4,6.0,8.89061272816347e-12,2.5916028204114914e-12,5.322604822315178e-12,9.78684157164684e-12,1.8978156038762798e-12,5.466483461347584e-12,5.568608907704304e-12,5.408396153747531e-12
5,6.5,7.382762559014433e-12,2.5247634305572427e-12,3.760842930042548e-12,8.067052102051126e-12,1.6123556212376907e-12,4.519123401634586e-12,5.26501814629946e-12,4.833863094781797e-12
6,7.0,6.123450196705498e-12,1.9616700469655377e-12,3.312799479531485e-12,6.0633101042542125e-12,1.3472207795788183e-12,3.2747426330776507e-12,4.4222952793565345e-12,3.7121962265062754e-12
7,7.5,4.703839616802235e-12,1.3753123912700912e-12,2.4832089631524166e-12,4.840503218156722e-12,1.2927038434235237e-12,2.7070747608572783e-12,3.1502508766879864e-12,2.8542569160162933e-12
8,8.0,3.0931161813299983e-12,1.5963666304237858e-12,1.6521545987367286e-12,3.6324005568225712e-12,1.0314999223319638e-12,1.9419984394592798e-12,2.4414425570292266e-12,2.0704428865322535e-12
